id,front,back,status,tags
185,Indicate the FALSE statement concerning broncholitis:,"Answer: D: its treatment usually involves a broad-spectrum antibiotic, bronchodilators, high doses of glucocorticosteroids Explanation: Exam trap: its treatment usually involves a broad-spectrum antibiotic, bronchodilators, high doses of glucocorticosteroids is the excluded/false choice. The table/true-set above shows what remains correct.",valid,pediatrics leks 2026 valid
186,"Indicate the true statements concerning hand, foot and mouth disease (HFMD): 1) disease is caused by enteroviruses; 2) disease is caused by a parvovirus; 3) infection is observed only in infants; 4) animals may be a source of infection; 5) symptomatic treatment is used","Answer: C: 1,5 Caveat: Legacy A says HFMD occurs only in infants. HFMD is an enteroviral illness across young childhood, with human-to-human transmission and symptomatic treatment -> 1 and 5 = C. Explanation: Exam anchor: 1,5. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
187,In the case of autosomal recessive disease the risk of the disease in the offspring of the parents who are both ill is:,Answer: E: 100% Explanation: Exam anchor: 100%. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
188,The most common cause of Cushing’s syndrome in children is:,Answer: A: treatment with glucocorticosteroids Explanation: Exam anchor: treatment with glucocorticosteroids. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
189,Which of the following infectious diseases is characterized by the incubation period between 11 to 21 days?,Answer: C: varicella Explanation: Exam anchor: varicella. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
190,"Frothy bubbles of mucous in the oral and nasal cavity of a newborn, despite regular clearing, accompanied with a loud heart murmur and limbs defect is characteristic of:",Answer: D: oesophageal atresia Explanation: Exam anchor: oesophageal atresia. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
191,Indicate the true statement concerning tuberculosis in children:,Answer: A: highest susceptibility to M. tuberculosis infection is observed in children under 3 years of age Explanation: Exam anchor: highest susceptibility to M. tuberculosis infection is observed in children under 3 years of age. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
192,Symptoms of peripheral motor neuron damage include: 1) flaccid paresis; 2) spastic paresis; 3) hyperreflexia; 4) hyporeflexia; 5) decreased muscle tone; 6) increased muscle tone 7) fasciculations,"Answer: A: 1,4,5,7 Explanation: Exam anchor: 1,4,5,7. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
193,The characteristic features of cystic fibrosis DO NOT include:,Answer: B: chronic infection with Mycoplasma pneumoniae and/or Chlamydia trachomatis Explanation: Exam trap: chronic infection with Mycoplasma pneumoniae and/or Chlamydia trachomatis is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
194,"Indicate true statements concerning the anterior fontanel: 1) immediately after childbirth the skull bones overlap and the fontanel may seem smaller; 2) anterior fontanel correctly closes 6-8 weeks after childbirth; 3) tense fontanel raises suspicion of dehydration; 4) premature ossification (closing) of the anterior fontanel may lead to microcephaly; 5) delayed ossification (closing) of the anterior fontanel is observed, for example in rickets; 6) anterior fontanel correctly closes between 9 and 18 month of life","Answer: B: 1,4,5,6 Caveat: Legacy A says the anterior fontanel normally closes at 6-8 weeks. That timing applies to the posterior fontanel. The anterior fontanel usually closes in the second year; early closure may accompany craniosynostosis/microcephaly and delayed closure occurs in rickets -> B. Explanation: Exam anchor: 1,4,5,6. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
195,Erythrocyturia in children is characteristic of: 1) nephritic syndrome; 2) acute pyelonephritis; 3) acute glomerulonephritis; 4) proximal tubular acidosis; 5) kidney stones,"Answer: A: 1,3,5 Explanation: Exam anchor: 1,3,5. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
196,"A 3-year-old boy fits to 39 °C, is apathetic. During the examination, the doctor found on the skin of the right thigh three skin lesions. What characteristics of the skin lesions can point to meningococcal sepsis?","Answer: A: they appeared suddenly, do not disappear under pressure, have a dark red color Explanation: Paediatric sepsis is infection with life-threatening organ dysfunction; treatment prioritizes early antibiotics, cautious reassessed fluids and vasoactive support when needed.",valid,pediatrics leks 2026 valid
197,Which joints are most frequently involved in the oligoarthritis onset of juvenile idiopathic arthritis?,Answer: C: knees Explanation: Exam anchor: knees. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
198,In the laboratory studies in children with type 1 diabetes in the course of ketoacidosis the following can be observed:,"Answer: A: hyperglycaemia, ketonemia, ketonuria and metabolic acidosis Explanation: DKA = hyperglycaemia + ketosis + metabolic acidosis; treat with fluids, insulin and electrolyte monitoring while watching closely for cerebral injury.",valid,pediatrics leks 2026 valid
199,Influenza vaccines can be used in children at the age of:,Answer: A: > 6 months Explanation: Exam anchor: > 6 months. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
200,"Which of the following are the attenuated vaccines given obligatorily to all children? 1) BCG vaccine against tuberculosis; 2) IPV polio vaccine; 3) influenza vaccine; 4) diphtheria, pertussis and tetanus vaccine; 5) measles, mumps and rubella vaccine; 6) varicella vaccine. The correct answer is","Answer: B: 1,5 Explanation: Exam anchor: 1,5. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
201,"Physical examination of a 4-month-old infant revealed signs of dyspnea, tachypnea 75/ min and diffused rales on lung auscultation. The child was born at 28 hbd, with the birth weight of 820 g. Oxygen therapy was necessary for the first two months of life. Body temperature was 36.8 °C, CRP 1 mg/L. A chest X-ray showed diffused small infiltrations within the lungs. The most probable diagnosis is:",Answer: E: bronchopulmonary dysplasia Explanation: Exam anchor: bronchopulmonary dysplasia. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
202,A urine bacterial culture in a neonate should be performed using the urine collected: 1) to sterile container by the „mid-stream” method; 2) through the catheter placed in the urinary bladder; 3) with suprapubic aspiration; 4) with a sterile pouch attached to the skin of the perineum,"Answer: B: 1,2,3 Caveat: Legacy A includes bag-collected urine as suitable for neonatal culture. Bag urine has unacceptable contamination for culture confirmation; catheterization, suprapubic aspiration and a properly obtained clean/midstream specimen when feasible are the defensible methods -> B after repairing the merged options. Explanation: In a suspected UTI, a positive bag specimen must be confirmed with a properly collected sample. The clinically useful statements are those supporting pyuria/bacteriuria assessment and reliable culture collection.",caveat/updated,pediatrics leks 2026 caveat_updated
203,Which set of symptoms is characteristic of acute glomerulonephritis in children?,"Answer: A: haematuria, oedema, hypertension Explanation: Nephritic syndromes cause haematuria, hypertension, oedema and reduced GFR; post-streptococcal GN typically follows infection after a latent interval.",valid,pediatrics leks 2026 valid
204,Acute bronchitis in children is most commonly caused by:,"Answer: E: viruses (Parainfluenzae, Adenovirus, Rhinovirus, RS-virus) Explanation: Exam anchor: viruses (Parainfluenzae, Adenovirus, Rhinovirus, RS-virus). Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
205,Indicate the FALSE statement concerning chemoprophylaxis after the contact with a patient infected with Neisseria meningitidis:,Answer: C: it consists in acyclovir given orally at a dose of 4 x 200 mg Explanation: Exam trap: it consists in acyclovir given orally at a dose of 4 x 200 mg is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
206,WHICH OF THE FOLLOWING IS NOT recommended for the feeding in the treatment of cow’s milk protein allergy? 1) soy protein-based formula; 2) breast-feeding by a mother on the elimination diet; 3) amino acid-based formula; 4) extensively hydrolyzed formula; 5) partially hydrolyzed formula,"Answer: A: 1,5 Explanation: Exam trap: 1,5 is the excluded/false choice. The table/true-set above shows what remains correct.",valid,pediatrics leks 2026 valid
207,Which of the following is more common among teenagers than pre-school children?,Answer: A: malignant bone tumors Explanation: Exam anchor: malignant bone tumors. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
208,Lumbar puncture is CONTRAINDICATED when the following conditions are present: 1) bradycardia; 2) impaired coagulation; 3) cardio-respiratory insufficiency; 4) tachypnea; 5) high fever; 6) opisthotonus,"Answer: A: 1,2,3 Explanation: Exam anchor: 1,2,3. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
209,General symptoms of Hodgkin’s lymphoma in children include: 1) fever > 38˚C; 2) lower limb pain; 3) night sweats; 4) weight loss > 10% in the last six months; 5) muscle pain,"Answer: C: 1,3,4 Caveat: Legacy A substitutes limb/muscle pain for the classic B symptoms. Hodgkin B symptoms are fever >38 C, drenching night sweats and >10% weight loss in 6 months -> 1,3,4 = C. Explanation: Hodgkin lymphoma staging uses Ann Arbor/Cotswolds concepts; B symptoms are fever, drenching night sweats and >10% weight loss in 6 months.",caveat/updated,pediatrics leks 2026 caveat_updated
210,"A mother comes with her obese 5-year-old son to the doctor office. As an infant he had difficulty in eating, was consulted due to reduced muscle tone. During his stay in the office the child presents skin-picking behaviour. The most probable diagnosis is:",Answer: A: Prader-Willi syndrome Explanation: Exam anchor: Prader-Willi syndrome. Retain this as the single best answer for the clinical fact tested in this stem. Q211-Q240,valid,pediatrics leks 2026 valid
211,Which of the following CANNOT be related to hyperthyroidism?,Answer: D: increased cholesterol concentration Explanation: Exam trap: increased cholesterol concentration is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
212,"Typical hemolytic-uremic syndrome in children, classified as thrombotic microangiopathy, is characterized by the following triad of symptoms:","Answer: D: hemolytic anemia, thrombocytopenia, acute kidney injury Explanation: Exam anchor: hemolytic anemia, thrombocytopenia, acute kidney injury. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
213,"A maculopapular skin rash, cradle cap not responding to the treatment, swelling of the gums and abnormal teething, soft on palpation bulges of the skull, and X-ray revealing osteolytic lesions in bones of the cranial vault in a 1-year-old child are characteristic of:",Answer: E: Langerhans cell histiocytosis Explanation: Exam anchor: Langerhans cell histiocytosis. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
214,Which neoplastic tumors may develop in the abdominal cavity of a child? 1) Wilms’ tumor; 2) neuroblastoma; 3) non-Hodgkin lymphoma; 4) medulloblastoma; 5) dysgerminoma,"Answer: D: 1,2,3,5 Caveat: Legacy A lists only Wilms and neuroblastoma. Abdominal paediatric malignancies can also include non-Hodgkin lymphoma and ovarian germ-cell tumour/dysgerminoma; medulloblastoma is intracranial -> D. Explanation: Exam anchor: 1,2,3,5. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
215,"A 12-year-old boy presents in GP's office after cleaning and dressing a wound on his leg. The patient seeks the recommendation concerning tetanus prophylaxis. The boy received the full basic vaccination against tetanus, and the last booster dosis was given 6 years ago. In the opinion of the GP a risk of tetanus in this case is low. Choose the proper recommendation:",Answer: A: there is no need to give a booster dose of diphtheria-tetanus vaccine Explanation: Exam anchor: there is no need to give a booster dose of diphtheria-tetanus vaccine. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
216,The features of hemolytic-uremic syndrome include: 1) hemolytic anemia; 2) thrombocytosis; 3) thrombocytopenia; 4) acute kidney injury with oliguria; 5) splenomegalia,"Answer: A: 1,3,4 Explanation: Exam anchor: 1,3,4. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
217,A child at preschool age is presented in GP’s office. According to the parents the child has been suffering from fever over 7 days and 2 days ago they observed a bilateral facial rash and maculopapular lacy rash on the trunk. The general condition of the child is good. Which diagnosis is the most probable?,Answer: D: erythema infectiosum Explanation: Exam anchor: erythema infectiosum. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
218,Parents removed a tick from the skin of their 5-year-old child. After 10 days erythema occurred in the bite mark and it gradually increased. During physical examination the erythema has 7 cm in diameter and has a clearing in the central part. What is the proper management in this case?,Answer: E: serological diagnostics is not necessary; amoxicillin should be administered for 14 days Explanation: Exam anchor: serological diagnostics is not necessary; amoxicillin should be administered for 14 days. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
219,"Juvenile idiopathic arthritis is the most frequently occurring group of chronic inflammatory systemic diseases of connective tissue observed in the developmental age, of unknown aetiology. Which of the following describes the criteria for diagnosing this condition:","Answer: C: onset of the disease at the age under 16, the symptoms of arthritis lasting six weeks minimum and excluding other possible causes of arthritis from the so-called “list of exclusions” Explanation: Exam anchor: onset of the disease at the age under 16, the symptoms of arthritis lasting six weeks minimum and excluding other possible causes of arthritis from the so-called “list of exclusions”. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
220,Which from the drugs listed below is used in the treatment of pertussis? . trimethoprim-sulfamethoxazole; 2. azithromycin; 3. amoxicillin; 4. clarithromycin; 5. penicillin V (phenoxymethylpenicillin),"Answer: A: 1,2,4 Explanation: Pertussis treatment/prophylaxis: macrolides are preferred; TMP-SMX is an alternative when macrolides cannot be used in age-appropriate patients.",caveat/updated,pediatrics leks 2026 caveat_updated
221,A patient with an enlarging erythema on the arm presented at the doctor’s office. Current diameter of the erythema is about 12 cm. The doctor diagnosed erythema migrans based on the medical history and the appearance of the lesion. Which of the following should be the next step?,Answer: E: start the treatment with an antibiotic chosen according to recommendations Explanation: Exam anchor: start the treatment with an antibiotic chosen according to recommendations. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
222,Celiac disease differs from the non-celiac gluten sensitivity in:,"Answer: E: detection of partial or complete villous atrophy in the biopsy of the duodenum Explanation: Coeliac disease can cause malabsorption, poor growth, iron deficiency and extraintestinal symptoms; screen with tTG-IgA plus total IgA while the child is eating gluten.",valid,pediatrics leks 2026 valid
223,Which of the following are signs or symptoms of hypercortisolemia in children? 1) accelerated growth; 2) excessive weight gain; 3) delayed growth; 4) acne; 5) hyperpigmentation,"Answer: B: 2,3,4 Caveat: Legacy A pairs weight gain with accelerated growth. Paediatric hypercortisolism classically causes weight gain with growth deceleration and can cause acne -> 2,3,4 = B. Explanation: Exam anchor: 2,3,4. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
224,"In a 4-year-old child with recurrent respiratory tract infections, hearing impairment and snoring the physical examination showed high-arched palate, distoclusion, mouth breathing and the presence of exudation in the nasal ducts. The most probable cause of the abnormalities is:",Answer: C: hypertrophy of the pharyngeal tonsil Explanation: Exam anchor: hypertrophy of the pharyngeal tonsil. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
225,Which of the following concerning pertussis is FALSE ?,"Answer: B: vaccination or being ill gives permanent immunity Explanation: Pertussis is treated and close-contact prophylaxis is given with a macrolide, commonly azithromycin; young infants are at highest risk of severe disease.",caveat/updated,pediatrics leks 2026 caveat_updated
226,WHICH OF THE FOLLOWING IS NOT a cause of arterial hypertension in neonates?,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: Neonatal hypertension has several renal/renovascular, medication, endocrine and iatrogenic causes, and more than one listed choice can be disputed as “not a cause.” The item does not support one stable exception. Explanation: INVALID: neonatal hypertension has a broad differential. Renal/renovascular disease, medications, endocrine disorders (including hypertensive CAH variants) and other listed mechanisms can all be relevant; the stem does not yield one clean exception.",invalid/outdated,pediatrics leks 2026 invalid_outdated
227,"Skin lesions that occur in children, especially those in immunosuppression, in a form of small dome-shaped and pearly papules with a dimpled center are related to:",Answer: E: molluscum contagiosum Explanation: Exam anchor: molluscum contagiosum. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
228,Which of the following CANNOT be a symptom of acute adrenocortical insufficiency in children?,Answer: E: hyperglycemia Explanation: Exam trap: hyperglycemia is the excluded/false choice. The table/true-set above shows what remains correct.,caveat/updated,pediatrics leks 2026 caveat_updated
229,"In a neonate the signs of respiratory distress are observed after the birth: cyanosis, dyspnoe, tachypnoe and scaphoid abdomen. These are indicative of:",Answer: D: diaphragmatic hernia Explanation: Exam anchor: diaphragmatic hernia. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
230,A pregnant woman (13 weeks of pregnancy) suffering from herpes zoster is concerned about the influence of this infection on her foetus. Choose the right answer concerning this situation:,Answer: A: herpes zoster in a pregnant woman doesn't create a risk for the foetus Explanation: Exam anchor: herpes zoster in a pregnant woman doesn't create a risk for the foetus. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
231,Which of the following scales is used to assess the maturation of a neonate?,Answer: D: Ballard Explanation: Exam anchor: Ballard. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
232,WHICH OF THE FOLLOWING IS NOT a CONTRAINDICATION to the breastfeeding?,Answer: D: chronic hepatitis C in the mother Explanation: Exam trap: chronic hepatitis C in the mother is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
233,Mitochondrial disease is transmitted to the offspring:,Answer: A: by mother Explanation: Exam anchor: by mother. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
234,Absolute CONTRAINDICATIONS to childhood vaccination include:,Answer: D: anaphylactic reaction to a vaccine component in history Explanation: Exam anchor: anaphylactic reaction to a vaccine component in history. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
235,The drug used in the first line of the treatment of idiopathic nephrotic syndrome in children is:,"Answer: A: prednisone Explanation: Nephrotic syndrome = heavy proteinuria, hypoalbuminaemia, oedema and hyperlipidaemia; minimal-change disease is common in young children and is usually steroid-responsive.",valid,pediatrics leks 2026 valid
236,Gastroesophageal reflux in physiological conditions is a short-term phenomenon. But if it lasts long or the episodes of reflux are frequent it could be the cause of gastroesophageal reflux disease (GERD). Alarming signs of GERD DO NOT include:,"Answer: C: heartburn Explanation: Most infant reflux is physiologic; alarm signs such as dysphagia, haematemesis, weight loss/faltering growth or neurologic/systemic illness prompt evaluation for GERD/other disease.",valid,pediatrics leks 2026 valid
237,Indicate the FALSE statement concerning Schönlein-Henoch purpura:,Answer: A: proteinuria and hematuria are necessary for the diagnosis Explanation: IgA vasculitis (Henoch-Schoenlein) = palpable purpura + abdominal pain + arthralgia +/- renal involvement.,caveat/updated,pediatrics leks 2026 caveat_updated
238,"A 14-year-old patient was admitted to the hospital because of hypertension, edemas, proteinuria and microscopic hematuria. The lab tests showed increased ASO titres, low levels of C3 complement, normal renal function. What is the most probable diagnosis?",Answer: A: acute poststreptococcal glomerulonephritis Explanation: Exam anchor: acute poststreptococcal glomerulonephritis. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
239,Very high values of acute phase indicators are characteristic of:,Answer: B: systemic onset juvenile idiopathic arthritis Explanation: Exam anchor: systemic onset juvenile idiopathic arthritis. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
240,A 5-year-old boy is brought to the physician because of a 2-day history of fever and painful swelling of the left ankle. In the past he had recurrent cervical lymphadenitis caused by catalase- positive staphylococcus and was hospitalized twice because of pneumonia. Nitroblue tetrazolium blood test shows no color change. Which of the following is the most likely mechanism of the disorder?,Answer: C: impaired phagocytic oxidative metabolism Explanation: Exam anchor: impaired phagocytic oxidative metabolism. Retain this as the single best answer for the clinical fact tested in this stem. Q241-Q270,caveat/updated,pediatrics leks 2026 caveat_updated
241,The sign and symptoms of hyperparathyroidism DO NOT include:,Answer: C: cirrhosis of the liver Explanation: PTH raises calcium and lowers phosphate through renal phosphate wasting; PTH resistance produces the opposite phosphate pattern.,valid,pediatrics leks 2026 valid
242,Cafe-au-lait spots are typical of:,Answer: C: neurofibromatosis type 1 Explanation: Exam anchor: neurofibromatosis type 1. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
243,Which of the following hormones are released from the posterior lobe of the pituitary gland?,Answer: C: vasopressin and oxytocin Explanation: Exam anchor: vasopressin and oxytocin. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
244,"Currently, the most common cause of acquired heart disease in children is:",Answer: C: Kawasaki disease Explanation: Exam anchor: Kawasaki disease. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
245,WHICH OF THE FOLLOWING IS NOT typical of Henoch-Schönlein purpura?,Answer: E: enlargement of the spleen Explanation: IgA vasculitis (Henoch-Schoenlein) = palpable purpura + abdominal pain + arthralgia +/- renal involvement.,valid,pediatrics leks 2026 valid
246,"The syndrome inherited in an autosomal dominant pattern, with the phenotype most similar to Turner syndrome (short stature, short neck, low ears), and with additional pulmonary artery stenosis and hypertrophic cardiomyopathy is:","Answer: A: Noonan syndrome Explanation: Turner syndrome (45,X or mosaic) classically causes short stature and gonadal dysgenesis; screen for cardiac, renal and thyroid disease.",valid,pediatrics leks 2026 valid
247,The most common solid malignant tumor in children is:,Answer: C: brain tumor Explanation: Exam anchor: brain tumor. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
248,Which of the following signs and symptoms IS NOT typical of iron-deficiency anemia?,Answer: E: bradycardia Explanation: Exam trap: bradycardia is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
249,"Live, attenuated vaccines include: 1) BCG; 2) DTP; 3) MMR; 4) OPV; 5) IPV","Answer: C: 1,3,4 Caveat: Legacy A includes DTP and omits BCG. Live attenuated vaccines in the list are BCG, MMR and OPV; DTP and IPV are inactivated -> C. Explanation: Exam anchor: 1,3,4. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
250,Which of the following methods is deciding in the diagnosis of food allergy?,"Answer: D: oral provocation test with suspicious foods Explanation: Food allergy diagnosis starts with a compatible history; targeted IgE testing supports sensitization, while supervised oral food challenge is the reference standard when needed.",valid,pediatrics leks 2026 valid
251,Indicate the FALSE statement concerning HHV6 virus infection:,Answer: A: it is an etiological factor of erythema contagiosum Explanation: Exam trap: it is an etiological factor of erythema contagiosum is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
252,"A 4-year old boy presents with a fever lasting 6 days. Which of the following conditions, if they were a part of this patient's presentation, would not cause suspicion of Kawasaki disease?",Answer: D: thrombocytopenia Explanation: Kawasaki disease: >=5 days fever plus mucocutaneous findings; coronary aneurysm prevention is why IVIG + aspirin matters.,caveat/updated,pediatrics leks 2026 caveat_updated
253,An anxious mother reports symptoms that according to her and a parents' website require immunological diagnostics. She asks you to clarify which of the following could indicate primary immunodeficiency in her 1-year-old son: 1) three upper respiratory tract viral infections; 2) otitis media; 3) pneumonia; 4) recurrent oral aphthae; 5) persistent cradle cap; 6) lack of weight gain and the inhibition of normal development,Answer: E: only 6 Caveat: The source treats common isolated childhood problems as sufficient PID indicators. A persistent failure to thrive/developmental arrest is the strongest warning sign among these choices; the other single common events are not enough by themselves -> E. Explanation: Exam anchor: only 6. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
254,A 12-year-old dyslectic boy complains of painful nodules on the abdomen. At least 8 spots of cafe au lait type with the diameter of about 10 mm were noted as well as freckle-like dots in the armpits. Which specialist outpatient clinic should he be immediately referred to?,"Answer: E: neurological one, because the diagnostic of neurocutaneous conditions is necessary Explanation: Exam anchor: neurological one, because the diagnostic of neurocutaneous conditions is necessary. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
255,Enteroviral infections in children DO NOT cause:,Answer: E: influenza Explanation: Exam trap: influenza is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
256,"Which of the following vaccines may be given to a woman at the 30th week of gestation? 1) against influenza (inactivated vaccine); 2) against chickenpox; 3) against tuberculosis; 4) against diphtheria, tetanus and pertussis (dTpa-an adult type of vaccine); 5) against measles, mumps and rubella","Answer: C: 1,4 Caveat: Legacy A omits Tdap. Inactivated influenza vaccine and Tdap are both appropriate during pregnancy; live varicella, BCG and MMR are contraindicated -> C. Explanation: Exam anchor: 1,4. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
257,"Hypercalcemia may be caused by any of the following, EXCEPT for:",Answer: E: hypoparathyroidism Explanation: Exam trap: hypoparathyroidism is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
258,"Which of the following is the cytostatic of particularly high cardiotoxicity, which can lead to congestive heart failure?",Answer: C: doxorubicin Explanation: Exam anchor: doxorubicin. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
259,Haemolytic-uraemic syndrome is:,"Answer: INVALID / OUTDATED - do not memorize the legacy key Caveat: “HUS” is not one aetiology: typical STEC-HUS, complement-mediated atypical HUS and pneumococcal HUS differ. Severe ADAMTS13 deficiency instead indicates TTP. The option set conflates entities, so one universal answer is unsafe. Explanation: INVALID WORDING: “HUS” is heterogeneous. Typical HUS is most often Shiga-toxin-associated; complement-mediated atypical HUS and pneumococcal HUS are different entities. Severe ADAMTS13 deficiency points to TTP, not typical HUS.",invalid/outdated,pediatrics leks 2026 invalid_outdated
260,"According to the current Polish National Program of Immunizations, which of the statements below is FALSE in case of a child with the birth weight of 1700g?",Answer: B: vaccination against hepatitis B should be postponed until the body weight has reached 2000 g Explanation: Exam trap: vaccination against hepatitis B should be postponed until the body weight has reached 2000 g is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
261,¹²³I-metaiodobenzylguanidine (MIBG) scintigraphy is a method used in children for the diagnosis of:,Answer: B: neuroblastoma Explanation: Exam anchor: neuroblastoma. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
262,Secondary drug-induced diabetes can occur after the following drugs EXCEPT for:,Answer: E: vildagliptin Explanation: Exam trap: vildagliptin is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
263,Which of the following symptoms are typical of systemic lupus erythematosus?,"Answer: C: photosensitivity, headache, pancytopenia Explanation: Exam anchor: photosensitivity, headache, pancytopenia. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
264,A 6-year-old boy demonstrated itchy maculopapular rash and nasal congestion twice after the ingestion of natural yogurt. The symptoms persisted up to several hours. The boy's parents suspect that their child has signs of allergy to cow milk protein. Which of the following tests would be the best to diagnose food allergy?,"Answer: C: double blind, placebo-controlled food challenge Explanation: Food allergy diagnosis starts with a compatible history; targeted IgE testing supports sensitization, while supervised oral food challenge is the reference standard when needed.",valid,pediatrics leks 2026 valid
265,Meningeal irritation symptoms observed in children include: 1) Flatau’s sign; 2) Brudzinski’s symphyseal sign; 3) Lasègue’s sign; 4) Amoss’ sign; 5) Kernig’s sign,"Answer: C: 1,2,4,5 Caveat: Legacy A includes Lasegue, a radicular/sciatic stretch sign. Flatau, Brudzinski symphyseal, Amoss and Kernig are meningeal irritation signs -> C. Explanation: Exam anchor: 1,2,4,5. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
266,"The presence of abscesses, emphysema bladders, pneumothorax and pleural abscess in the radiological image of the lungs in a child indicates the diagnosis of:",Answer: B: staphylococcal pneumonia Explanation: Exam anchor: staphylococcal pneumonia. Retain this as the single best answer for the clinical fact tested in this stem.,caveat/updated,pediatrics leks 2026 caveat_updated
267,Subacute sclerosing panencephalitis (SSPE) occurs with higher rate in children suffering in the early childhood (under 2 years of age) from:,Answer: A: measles Explanation: Exam anchor: measles. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
